Site,ID number,Species,Number of scars,Length,Proximal width,Medial width,Distal width,Thickness at medial,Platform width,Platform thickness
Ksar Akil 28A,2239,Neanderthal,5,55.82,33.43,39.24,23.49,6.18,37.86,8.68
Ksar Akil 28A,2021,Neanderthal,6,68.68,44.56,50.54,8.73,9.11,44.49,10.49
Ksar Akil 28A,2691,Neanderthal,5,58.59,23.96,34.58,17.2,3.99,18.09,5.12
Ksar Akil 28A,2233,Neanderthal,4,52.93,26.88,41.44,4.51,9.13,25.33,7
Ksar Akil 28A,2542,Neanderthal,6,62.49,32.48,37.91,22.05,6.36,29.64,8.13
Ksar Akil 28A,2068,Neanderthal,6,68.73,33.86,41.22,3.66,10.58,20.76,11.75
Ksar Akil 28A,2247,Neanderthal,4,57.41,33.65,36.07,14.85,7.6,32.39,6.24
Ksar Akil 28A,2020,Neanderthal,6,65.02,53.43,35.32,12.73,8.09,53.42,7.26
Ksar Akil 28A,2005,Neanderthal,3,51.2,24.35,25.27,7.05,5.86,22.69,8.87
Ksar Akil 28A,2282,Neanderthal,3,46.4,32.29,35.99,30.95,9.48,31.18,9.42
Ksar Akil 28A,2317,Neanderthal,4,37,21.33,23,4.61,5.63,15.25,6.56
Ksar Akil 28A,2265,Neanderthal,7,80.44,28.61,37.33,10.19,8.45,12.49,5.37
Ksar Akil 28A,2065,Neanderthal,7,61.93,33.63,27.09,19.44,5.55,32.11,8.06
Ksar Akil 28A,2649,Neanderthal,11,89.99,23.7,39.02,37.97,8.05,23.89,7.54
Ksar Akil 28A,2064,Neanderthal,5,54.74,39.37,35.57,5.08,8.31,39.3,8.36
Ksar Akil 28A,1168,Neanderthal,4,55.66,34.59,31.91,11.45,6.92,34.48,6.62
Ksar Akil 28A,2197,Neanderthal,3,70.28,38.76,37.4,13.47,9.11,37.42,7.61
Ksar Akil 28A,2283,Neanderthal,8,39.08,22.7,31.69,6.86,8.37,22.79,6.53
Ksar Akil 28A,1201,Neanderthal,6,51.73,21.75,27.64,2.14,7.23,21.37,7.42
Ksar Akil 28A,2036,Neanderthal,3,36.63,33.94,31.84,10.46,11.02,33.7,10.93
